"","P(R)","P(R|q)"
"bin_1",0.521169212891032,0.510714319526627
"bin_2",0.457562629960923,0.509994146341463
"bin_3",0.409331105792947,0.511648666666667
"bin_4",0.367574440611362,0.509568932038835
"bin_5",0.335687684839795,0.50924696969697
"bin_6",0.281442260364176,0.510434520547945
"bin_7",0.242058794927002,0.510628735632184
"bin_8",0.181461703173162,0.511837993311037
"bin_9",0.0622608744352739,0.554705306122449
"bin_10",0.0327170316831062,0.689131851851852
"bin_11",0.0202964697522,0.717344
"bin_12",0.0143403936080121,0.73732
"bin_13",0.0107568213115358,0.741986666666667
"bin_14",0.00760134946058397,0.72558
"bin_15",0.00569115504989138,0.597934545454545
